identity	module	section	target_rva	base_rva	target_size	base_size	status	target_hash	base_hash	relocation_hash	note
L:openssl:dsa_asn1.obj:DSAPrivateKey_aux	openssl	.rdata	0x82d8ac	0x846aac	24	24	RELOCS	9d908ecfb6b256def8b49a7c504e6c889c4b0e41fe6ce3e01863dd7b61a20aa0	9d908ecfb6b256def8b49a7c504e6c889c4b0e41fe6ce3e01863dd7b61a20aa0	7a9eb294dfc72bc0c09082007bdb6d93f027178421c1299dc26ed94939fd20bc/a5e9b63bf6876eec55acf06bc763639c74769e4b85ffbe0df12eb2fecf59f0e8	pointer +0x10: target=S:.text+0x1df5c0 base=S:.text+0x4b01c0
L:openssl:dsa_asn1.obj:DSAPrivateKey_seq_tt	openssl	.rdata	0x82d8e0	0x846ae0	120	120	RELOCS	44a4d724e7dca4958d81e4cdbd96ff734d6a27b9c533238e2f8d50a027df6429	44a4d724e7dca4958d81e4cdbd96ff734d6a27b9c533238e2f8d50a027df6429	286441732d35636fb6e4c68dbc57dd55f1b74b3fa0a375f9f58a825bfe7e6d6a/e8bd883db4a7db88d07a265da7f6d6c3a5e2bcbae73c5a0a3d8956edc1a3544b	pointer +0x10: target=S:.text+0x203280 base=S:.text+0x4d3e50
L:openssl:dsa_asn1.obj:DSAPublicKey_aux	openssl	.rdata	0x82da34	0x846c34	24	24	RELOCS	9d908ecfb6b256def8b49a7c504e6c889c4b0e41fe6ce3e01863dd7b61a20aa0	9d908ecfb6b256def8b49a7c504e6c889c4b0e41fe6ce3e01863dd7b61a20aa0	7a9eb294dfc72bc0c09082007bdb6d93f027178421c1299dc26ed94939fd20bc/a5e9b63bf6876eec55acf06bc763639c74769e4b85ffbe0df12eb2fecf59f0e8	pointer +0x10: target=S:.text+0x1df5c0 base=S:.text+0x4b01c0
L:openssl:dsa_asn1.obj:DSAPublicKey_ch_tt	openssl	.rdata	0x82da4c	0x846c4c	40	40	RELOCS	d8d127dcce49ba4a3f3f8bfd19b27d7cecd6943414464eb73cb01e1ade6e828c	d8d127dcce49ba4a3f3f8bfd19b27d7cecd6943414464eb73cb01e1ade6e828c	eef160c530ba447de39be23cae5b073adc28a9d50ba1e57f80f3103002c4546d/49530e8fbfd7f63da471c0bde1708106200255aaa71689d08f3d538e5c7e9ab1	pointer +0x10: target=S:.text+0x203130 base=S:.text+0x4d3d00
L:openssl:dsa_asn1.obj:DSA_SIG_aux	openssl	.rdata	0x82d850	0x846a50	24	24	RELOCS	9d908ecfb6b256def8b49a7c504e6c889c4b0e41fe6ce3e01863dd7b61a20aa0	9d908ecfb6b256def8b49a7c504e6c889c4b0e41fe6ce3e01863dd7b61a20aa0	15269f8da5f337e7630864398cd9c2038bbd1f56cae508081364c924c1052356/33ae6c747803bc3dd05f6f5156fd0a44ff33ed8a0f1914ada43884b63c8671ff	pointer +0x10: target=S:.text+0x1df4f0 base=S:.text+0x4b00f0
L:openssl:dsa_asn1.obj:DSA_SIG_seq_tt	openssl	.rdata	0x82d868	0x846a68	40	40	RELOCS	b4d0b63111fe4f44ce31db8009d6ed5a237d2da19d4832ea851dcda4fc9715c6	b4d0b63111fe4f44ce31db8009d6ed5a237d2da19d4832ea851dcda4fc9715c6	e1ddabf0690e7569892c3a4e8f7f6c1410143550c4710865e07970a9c6242cc6/ad95bd629da0ffa98e9bba78568a6b3010344a5004e60749f4e49ceebf94e4a3	pointer +0x10: target=S:.text+0x203140 base=S:.text+0x4d3d10
L:openssl:dsa_asn1.obj:DSAparams_aux	openssl	.rdata	0x82d958	0x846b58	24	24	RELOCS	9d908ecfb6b256def8b49a7c504e6c889c4b0e41fe6ce3e01863dd7b61a20aa0	9d908ecfb6b256def8b49a7c504e6c889c4b0e41fe6ce3e01863dd7b61a20aa0	7a9eb294dfc72bc0c09082007bdb6d93f027178421c1299dc26ed94939fd20bc/a5e9b63bf6876eec55acf06bc763639c74769e4b85ffbe0df12eb2fecf59f0e8	pointer +0x10: target=S:.text+0x1df5c0 base=S:.text+0x4b01c0
L:openssl:dsa_asn1.obj:DSAparams_seq_tt	openssl	.rdata	0x82d970	0x846b70	60	60	RELOCS	829a774442648d4784c196cf815de16ab155d2d6c53c597cbc4ad193f0addd52	829a774442648d4784c196cf815de16ab155d2d6c53c597cbc4ad193f0addd52	0cc8c63046519b667a8260d6e9116e536884ec1c81013cdac1611650b90e08b4/c4b6658f4e690f0637b6f4ae40184aff23b1231bdf6fa8c3a9241b742c020c91	pointer +0x10: target=S:.text+0x203130 base=S:.text+0x4d3d00
L:openssl:dsa_asn1.obj:dsa_pub_internal_seq_tt	openssl	.rdata	0x82d9c8	0x846bc8	80	80	RELOCS	8e0cae1b1eaaea7de6c4c94c6cc6182d46bdf965ceb95563bd564b5f603efb68	8e0cae1b1eaaea7de6c4c94c6cc6182d46bdf965ceb95563bd564b5f603efb68	11953423051011ece84ef20284fcd3d863b32b7fb280e15a3f394d00dc65c3a6/1e58675c0740c07b2c7a981f56dc5f33c93d0c41f9bdead9a956f3bf7356f3d2	pointer +0x10: target=S:.text+0x203130 base=S:.text+0x4d3d00
L:openssl:dsa_asn1.obj:local_it	openssl	.rdata	0x82da18	0x846c18	28	28	EXACT	8d3b58c04a8c585a803c965892f8d622eea36065476a71b64ee169207f9b2369	8d3b58c04a8c585a803c965892f8d622eea36065476a71b64ee169207f9b2369	6bf052656bfde6c482b9a7c63edf5cc78b93a1052deb37297fe137be0fe20bd2/6bf052656bfde6c482b9a7c63edf5cc78b93a1052deb37297fe137be0fe20bd2	-
L:openssl:dsa_err.obj:DSA_str_functs	openssl	.data	0x9aa848	0x9ee928	184	184	EXACT	a5be4272d129f3c6546b2612c19e7718b0c2c698562441d3595afc94394cf44c	a5be4272d129f3c6546b2612c19e7718b0c2c698562441d3595afc94394cf44c	60f7aa8960e055a557445e720c36c9cf526c3b1dbcff7b3ac816db0a8bdfaecc/60f7aa8960e055a557445e720c36c9cf526c3b1dbcff7b3ac816db0a8bdfaecc	-
L:openssl:dsa_err.obj:DSA_str_reasons	openssl	.data	0x9aa900	0x9ee9e0	88	88	EXACT	6356575d7f39d0f5531a17b709bc3e6042d2fcf5d970b000e5733ffe24c4984b	6356575d7f39d0f5531a17b709bc3e6042d2fcf5d970b000e5733ffe24c4984b	f6aaca6a1218e98e010952cf64da4ea532f9d3d7f158c68d63d9e2676c6bc6a7/f6aaca6a1218e98e010952cf64da4ea532f9d3d7f158c68d63d9e2676c6bc6a7	-
L:openssl:dsa_lib.obj:default_DSA_method	openssl	.data	0xa934b8	0xae6628	4	4	EXACT	df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119	df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945/4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945	-
L:openssl:dsa_ossl.obj:openssl_dsa_meth	openssl	.data	0x9a03a8	0x9e9548	48	48	RELOCS	17b0761f87b081d5cf10757ccc89f12be355c70e2e29df288b65b30710dcbcd1	17b0761f87b081d5cf10757ccc89f12be355c70e2e29df288b65b30710dcbcd1	e4477c0adf5dcda75c2a3bdf5025f7e4a3012ec783c3934481ad907ad946ecb5/498d8171822eda2f54a60f337f899bcc448da7e74dafb8136071bb52d4d13b5d	pointer +0x4: target=S:.text+0x1ff6e0 base=S:.text+0x4d02d0
L:openssl:dso_err.obj:DSO_str_functs	openssl	.data	0x9a89b0	0x9eca90	400	400	EXACT	008e4c73dc0cd10d78e981e1e218fedd354d024abd6fd52cea30c1c6e25884f6	008e4c73dc0cd10d78e981e1e218fedd354d024abd6fd52cea30c1c6e25884f6	75c332ae9e7a784247bebc5f2bbc5cae310a41e9b2888eb6bca9a4b208bca182/75c332ae9e7a784247bebc5f2bbc5cae310a41e9b2888eb6bca9a4b208bca182	-
L:openssl:dso_err.obj:DSO_str_reasons	openssl	.data	0x9a8b40	0x9ecc20	144	144	EXACT	8499385db8cbc8f6df088d6b959494cbfd696fd6bd3fe3d1fc988862cec1948d	8499385db8cbc8f6df088d6b959494cbfd696fd6bd3fe3d1fc988862cec1948d	dca6d3c8a117cfe5201d00677a36b71abd1aefa16cc569c5fd37fc31a6b5b73f/dca6d3c8a117cfe5201d00677a36b71abd1aefa16cc569c5fd37fc31a6b5b73f	-
